Цена;Минут до метро;Количество комнат;Площадь;Площадь спален;Площадь кухни;Номер этажа;Количество этажей;Округ_ Центральный административный округ;Округ_Восточный административный округ;Округ_Западный административный округ;Округ_Новомосковский административный округ;Округ_Северный административный округ;Округ_Северо-Восточный административный округ;Округ_Северо-Западный административный округ;Округ_Центральный административный округ;Округ_Юго-Восточный административный округ;Округ_Юго-Западный административный округ;Округ_Южный административный округ;Ремонт_Без ремонта;Ремонт_Дизайнерский;Ремонт_Европейский;Ремонт_Косметический
99000000;1;4;129,4;10;17,3;17;18;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
40500000;10;4;106,1;60,7;15,2;48;58;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
79000000;17;4;145;102;15;36;48;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
50000000;6;4;297;91,7;19;3;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
79000000;10;4;145,8;102;15;36;47;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
80000000;19;4;186,4;96,4;22,1;11;44;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
132000000;5;4;133,5;49,5;17,7;10;21;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
185000000;10;4;171;88,6;20,8;4;6;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
61000000;10;4;134,5;70,1;17,8;15;52;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
149600000;8;4;174;90,1;21;12;13;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
43000000;9;4;118,6;54,6;30,4;9;48;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
155000000;10;4;133,1;10;17,7;6;14;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
281600000;3;4;128;10;17,2;2;5;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
57990000;7;4;95,6;50,5;14,5;18;19;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
72000000;15;4;91;59;11;10;41;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
85000000;11;4;161;96;15;2;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
87000000;5;4;145,2;110;20;7;14;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
114890000;13;4;212;136;19;6;17;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
169275000;6;4;225,7;116,2;25,3;3;9;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
204000000;5;4;170;88,1;20,7;6;8;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
250000000;6;4;185;15;21,9;5;8;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
53000000;2;4;120,8;63,2;16,6;4;6;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
180000000;8;4;186,6;89;27;7;11;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
179000000;9;4;140;40;18,2;4;8;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
52000000;10;4;107;15;15,5;14;52;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
